Razón Social;Marca;Importe;Fecha;Provincia;CC.AA.;CIF;Sitio web;Sector;Tamaño de la empresa;Sede;Tipo;Dirección;Constitución;CNAE;SIC;Twitter_90d;Twitter_90d_enisa
LETS COOK, S.L.;Let's cook;50.000,00 €;04/02/2021;Barcelona;Cataluña;B67476051;;;;;;PASEO SANT JOAN, 93 1 PTA.2.  08009, BARCELONA, BARCELONA    ;1 año, 8 meses y 4 dias;4617  Intermediarios del comercio de productos alimenticios, bebidas y tabaco;5149 COMESTIBLES Y PRODUCTOS RELACIONADOS SC;501.0;
MEEP MOBILITY, S.L.;gomeep;68.000,00 €;04/02/2021;Barcelona;Cataluña;B67428623;https://gomeep.com;Servicio al consumidor;2-10 empleados;Barcelona, Catalonia;De financiación privada;CALLE RAMON TURRO, 295.  08019, BARCELONA, BARCELONA    ;1 año, 10 meses y 23 dias;7711  Alquiler de automóviles y vehí­culos de motor ligeros;7512 Alquiler de automóviles de turismo sin conductor;;
BYTELAB SOLUTIONS, S.L.;NEXTMOL;44.000,00 €;04/02/2021;Barcelona;Cataluña;B67405589;https://www.nextmol.com/;Servicios y tecnologías de la información;2-10 empleados;Barcelona, Catalonia;De financiación privada;CALLE ROC BORONAT, 117 2.  08018, BARCELONA, BARCELONA    ;1 año, 11 meses y 30 dias;6201  Actividades de programación informática;7372 Programación de ordenadores y software;10.0;
THE NEEDO, S.L.;THE NEEDO;33.000,00 €;25/01/2021;Madrid;Madrid, Comunidad de;B81363475;;;;;;PL. CERVANTES, 25 1º.  28801, ALCALA DE HENARES, MADRID    ;25 años, 2 meses y 9 dias;6920  Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal;7392 ASESORÍA Y RELACIONES PÚBLICAS DE EMPRESAS;241.0;2.0
INHIBITEC ANTICUERPOS, S.L.;INHIBITEC;65.000,00 €;22/01/2021;Cantabria;Cantabria;B39875489;;;;;;PLAZA VELARDE, 5 CLUB CAMARA DE COMERCIO.  39001, SANTANDER, CANTABRIA    ;2 años y 23 dias;7211  Investigación y desarrollo experimental en biotecnología;;16.0;
VIRTUAL WEB AGROFRAME, S.L.;ENCANTADO DE COMERTE;67.000,00 €;22/01/2021;Zaragoza;Aragón;B99537706;;;;;;CALLE PAMPLONA ESCUDERO, 18 1º A.  50005, ZARAGOZA, ZARAGOZA   ;2 años, 2 meses y 20 dias;4617  Intermediarios del comercio de productos alimenticios, bebidas y tabaco;5149 COMESTIBLES Y PRODUCTOS RELACIONADOS SC;103.0;2.0
THE WAKE UP MOVEMENT, S.L.;The Wum;68.000,00 €;22/01/2021;Madrid;Madrid, Comunidad de;B88511373;;;;;;CALLE PRINCIPE DE VERGARA, 211 PISO 6 º PUERTA C.  28002, MADRID, MADRID    ;1 año, 4 meses y 30 dias;7311  Agencias de publicidad;5999 DETALLISTAS DIVERSOS SC;447.0;
HERIS MEDTECH, S.L.;Heris;67.000,00 €;14/01/2021;Madrid;Madrid, Comunidad de;B88583406;https://heris.io;Sanidad, bienestar y ejercicio;2-10 empleados;Madrid, Comunidad de Madrid;De financiación privada;PLAZA REYES MAGOS, 8 , 6 ºB.  28007, MADRID, MADRID    ;1 año, 1 mes y 28 dias;6202  Actividades de consultoría informática;7379 Servicios relacionados con computación SC;501.0;
HINSOMNIA GLOBAL, S.L.;Hinsomnia;68.000,00 €;07/01/2021;Madrid;Madrid, Comunidad de;B88531736;http://www.hinsomnia.com;Sector textil;2-10 empleados;Madrid, Madrid;Autónomo;PASEO SAN FRANCISCO DE SALES, 41 0 2.  28003, MADRID, MADRID    ;1 año, 4 meses y 6 dias;4751  Comercio al por menor de textiles en establecimientos especializados;2299 Productos textiles sc;9.0;
CULTIPLY, S.L.;CULTIPLY;40.000,00 €;21/12/2020;Sevilla;Andalucía;B90486010;http://www.cultiply.es;Biotecnología;2-10 empleados;La Rinconada, Andalucía;De financiación privada;CALLE CARRETERA BETICA, 163 NAVE C,.  41300, RINCONADA (LA), SEVILLA   ;11 meses y 8 dias;7211  Investigación y desarrollo experimental en biotecnología;;91.0;8.0
TWENIX PLATFORM, S.L.;Twenix;225.000,00 €;04/02/2021;Almería;Andalucía;B04890869;http://www.twenix.es;E-learning;11-50 empleados;Madrid, Comunidad de Madrid;De financiación privada;PL. GUITARRISTA JULIAN ARCAS, 1 1 2 - EDIFICIO B. 04009, ALMERIA, ALMERIA;2 años, 7 meses y 26 dias;8559 Otra educación n.c.o.p.;8299 Escuelas y servicios educativos sc;67.0;13.0
ETHICAL PIECES, S.L.;Mimoke;75.000,00 €;04/02/2021;Barcelona;Cataluña;B67372938;http://mimoke.com;Artículos de lujo y joyas;2-10 empleados;Barcelona, Barcelona;De financiación privada;CALLE ARIBAU, 168 1 PTA.1.  08036, BARCELONA, BARCELONA    ;2 años, 2 meses y 3 dias;4777  Comercio al por menor de artículos de relojería y joyería en establecimientos especializados;5094 Joyería y relojería;1.0;
